modelo,sim_min,sim_max,sim_desv,margen_medio,margen_mediano_sobre_desv,margen_gm_mediano,p1,p5,p10,p25,p50,p75,p90
CLIP ViT-B/32 (laion2b),0.02684623410584457,0.4295922200656749,0.058318153985448776,0.027976843814093804,0.2643473390866442,0.00771528343759105,0.00018455806004633897,0.0009937279644264567,0.0019322085467936626,0.005545285635111689,0.015416248826498558,0.03884572276930512,0.07208878375793869
CLIP ViT-B/16 (datacomp_xl),0.046975975742083224,0.39220600487010077,0.05504797128275612,0.026055867579100774,0.24425838320536203,0.007068427906160496,0.0003190227609611454,0.0012507367544886796,0.002169585368242638,0.00576771128148975,0.013445928464261209,0.03602638222493971,0.06776422957090517
CLIP ViT-L/14 (openai),0.0600099361475736,0.3360530654797055,0.040693236006060216,0.020543656188345537,0.32478781902999326,0.006341665211914621,0.00018785687315544587,0.0008153810189145794,0.0019816731560884566,0.0052429216741997214,0.01321666737168109,0.02860095077497298,0.05014340654772978
