index,text,image,group,group_match,text_status,image_status,group_status,group_match_status,group_match_margin,id,tag
375,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.0017995834350585938,375,Relation
376,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.023130670189857483,376,Both
377,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.00515514612197876,377,Relation
378,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.0012622326612472534,378,Object
379,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.00519503653049469,379,Object
380,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.055567800998687744,380,Relation
381,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.01067940890789032,381,Relation
382,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.02588917315006256,382,Relation
383,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.005594223737716675,383,Relation
384,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.052183374762535095,384,Object
385,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.0017756223678588867,385,Relation
386,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.000692710280418396,386,Relation
387,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.007931292057037354,387,Relation
388,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.007238864898681641,388,Relation
389,1.0,1.0,1.0,1.0,correcto,correcto,correcto,correcto,0.12241876125335693,389,Object
390,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.03929400444030762,390,Relation
391,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.01423896849155426,391,Relation
392,1.0,1.0,1.0,1.0,correcto,correcto,correcto,correcto,0.09072481095790863,392,Relation
393,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.010669231414794922,393,Object
394,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.024578765034675598,394,Relation
395,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.0007838606834411621,395,Object
396,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.0013420581817626953,396,Relation
397,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.0015512853860855103,397,Relation
398,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.0034986883401870728,398,Relation
399,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.005671650171279907,399,Relation
