modelo,etiqueta_diwan,n,text,image,group,group_match
CLIP ViT-B/32 (laion2b),Ambiguously Correct,46,0.34782608695652173,0.06521739130434782,0.06521739130434782,0.6521739130434783
CLIP ViT-B/32 (laion2b),Complex Reasoning,78,0.28205128205128205,0.08974358974358974,0.0641025641025641,0.6410256410256411
CLIP ViT-B/32 (laion2b),Non Minimal,30,0.6333333333333333,0.26666666666666666,0.26666666666666666,0.8
CLIP ViT-B/32 (laion2b),Unusual Image,56,0.3392857142857143,0.07142857142857142,0.07142857142857142,0.6071428571428571
CLIP ViT-B/32 (laion2b),Unusual Text,50,0.4,0.1,0.1,0.64
CLIP ViT-B/32 (laion2b),Visually Difficult,38,0.3157894736842105,0.07894736842105263,0.05263157894736842,0.47368421052631576
CLIP ViT-B/32 (laion2b),(sin etiqueta),172,0.3488372093023256,0.13372093023255813,0.06976744186046512,0.7034883720930233
CLIP ViT-B/16 (datacomp_xl),Ambiguously Correct,46,0.32608695652173914,0.06521739130434782,0.06521739130434782,0.6739130434782609
CLIP ViT-B/16 (datacomp_xl),Complex Reasoning,78,0.2692307692307692,0.05128205128205128,0.02564102564102564,0.5769230769230769
CLIP ViT-B/16 (datacomp_xl),Non Minimal,30,0.5333333333333333,0.3333333333333333,0.3,0.7666666666666667
CLIP ViT-B/16 (datacomp_xl),Unusual Image,56,0.19642857142857142,0.10714285714285714,0.07142857142857142,0.5892857142857143
CLIP ViT-B/16 (datacomp_xl),Unusual Text,50,0.24,0.14,0.1,0.66
CLIP ViT-B/16 (datacomp_xl),Visually Difficult,38,0.18421052631578946,0.02631578947368421,0.02631578947368421,0.5789473684210527
CLIP ViT-B/16 (datacomp_xl),(sin etiqueta),172,0.3430232558139535,0.0755813953488372,0.06976744186046512,0.6511627906976745
CLIP ViT-L/14 (openai),Ambiguously Correct,46,0.34782608695652173,0.17391304347826086,0.13043478260869565,0.6086956521739131
CLIP ViT-L/14 (openai),Complex Reasoning,78,0.24358974358974358,0.07692307692307693,0.05128205128205128,0.6666666666666666
CLIP ViT-L/14 (openai),Non Minimal,30,0.5666666666666667,0.26666666666666666,0.23333333333333334,0.8333333333333334
CLIP ViT-L/14 (openai),Unusual Image,56,0.25,0.10714285714285714,0.07142857142857142,0.6428571428571429
CLIP ViT-L/14 (openai),Unusual Text,50,0.32,0.16,0.14,0.74
CLIP ViT-L/14 (openai),Visually Difficult,38,0.23684210526315788,0.02631578947368421,0.02631578947368421,0.5263157894736842
CLIP ViT-L/14 (openai),(sin etiqueta),172,0.2616279069767442,0.0872093023255814,0.06395348837209303,0.6453488372093024
