modelo,tag,n,text,image,group,group_match
CLIP ViT-B/16 (datacomp_xl),Both,26,0.5769230769230769,0.3076923076923077,0.3076923076923077,0.7307692307692307
CLIP ViT-B/16 (datacomp_xl),Object,141,0.3475177304964539,0.09929078014184398,0.0851063829787234,0.6879432624113475
CLIP ViT-B/16 (datacomp_xl),Relation,233,0.23605150214592274,0.055793991416309016,0.03862660944206009,0.6051502145922747
CLIP ViT-B/32 (laion2b),Both,26,0.5,0.3076923076923077,0.2692307692307692,0.7692307692307693
CLIP ViT-B/32 (laion2b),Object,141,0.3900709219858156,0.10638297872340426,0.0851063829787234,0.723404255319149
CLIP ViT-B/32 (laion2b),Relation,233,0.30472103004291845,0.09012875536480687,0.04721030042918455,0.6351931330472103
CLIP ViT-L/14 (openai),Both,26,0.5769230769230769,0.34615384615384615,0.34615384615384615,0.8076923076923077
CLIP ViT-L/14 (openai),Object,141,0.2765957446808511,0.09929078014184398,0.07092198581560284,0.6950354609929078
CLIP ViT-L/14 (openai),Relation,233,0.26180257510729615,0.09012875536480687,0.06437768240343347,0.630901287553648
